"id";"name";"brand";"type";"measuringunit";"img";"wastage";"source";"cals";"proteins";"carbs";"fats";"cholosterol";"sodium";"vitaminc";"vitamina";"calcium";"zinc";"organic_cals";"organic_proteins";"organic_carbs";"organic_fats";"frozen_cals";"frozen_proteins";"frozen_carbs";"frozen_fats";"dried_cals";"dried_proteins";"dried_carbs";"dried_fats";"boiled_cals";"boiled_proteins";"boiled_carbs";"boiled_fats";"fried_cals";"fried_proteins";"fried_carbs";"fried_fats";"grilled_cals";"grilled_proteins";"grilled_carbs";"grilled_fats";"steamed_cals";"steamed_proteins";"steamed_carbs";"steamed_fats";"available_types";"price";"quantity";"box_quantity";"min_quantity";"increase";"status";"component_category_id";"component_group_id";"exclude_list_id";"allergy_list_id";"created_at";"updated_at"
"1";"Bread";"No Brand";"fresh";"gram";NULL;"0";NULL;"2.74";"0.11";"0.48";"0.05";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"fresh_";"0";"0";"0";"0";"0";"show";"1";"2";NULL;NULL;"2022-11-02 09:58:50";"2022-11-02 09:58:50"
"2";"Fried Banana";"No Brand";"fresh";"gram";NULL;"0";NULL;"3.42";"0.05";"0.34";"0.21";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"fresh_";"0";"0";"0";"0";"0";"show";"1";"2";NULL;NULL;"2022-11-02 09:58:51";"2022-11-02 09:58:51"
"3";"Bread Onion Toasted";"No Brand";"fresh";"gram";NULL;"0";NULL;"2.6";"0.08";"0.49";"0.03";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"fresh_";"0";"0";"0";"0";"0";"show";"1";"2";NULL;NULL;"2022-11-02 09:58:51";"2022-11-02 09:58:51"
"4";"Bread High Protein Toasted";"No Brand";"fresh";"gram";NULL;"0";NULL;"2.69";"0.13";"0.48";"0.02";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"fresh_";"0";"0";"0";"0";"0";"show";"1";"2";NULL;NULL;"2022-11-02 09:58:51";"2022-11-02 09:58:51"
"5";"Bread Protein";"No Brand";"fresh";"gram";NULL;"0";NULL;"2.45";"0.12";"0.44";"0.02";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"fresh_";"0";"0";"0";"0";"0";"show";"1";"2";NULL;NULL;"2022-11-02 09:58:51";"2022-11-02 09:58:51"
"6";"Bread Gluten Free Toasted";"No Brand";"fresh";"gram";NULL;"0";NULL;"2.73";"0.05";"0.5";"0.06";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"fresh_";"0";"0";"0";"0";"0";"show";"1";"2";NULL;NULL;"2022-11-02 09:58:51";"2022-11-02 09:58:51"
"7";"Taco Shell";"No Brand";"fresh";"gram";NULL;"0";NULL;"5.11";"0.09";"0.53";"0.29";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"fresh_";"0";"0";"0";"0";"0";"show";"1";"2";NULL;NULL;"2022-11-02 09:58:51";"2022-11-02 09:58:51"
"8";"Taco Shells Baked";"No Brand";"fresh";"gram";NULL;"0";NULL;"4.76";"0.06";"0.63";"0.22";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"fresh_";"0";"0";"0";"0";"0";"show";"1";"2";NULL;NULL;"2022-11-02 09:58:51";"2022-11-02 09:58:51"
"9";"Muffin Chocolate Chip";"No Brand";"fresh";"gram";NULL;"0";NULL;"3.97";"0.06";"0.55";"0.19";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"fresh_";"0";"0";"0";"0";"0";"show";"1";"2";NULL;NULL;"2022-11-02 09:58:51";"2022-11-02 09:58:51"
"10";"Muffin Chocolate";"No Brand";"fresh";"gram";NULL;"0";NULL;"3.9";"0.06";"0.51";"0.18";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"fresh_";"0";"0";"0";"0";"0";"show";"1";"2";NULL;NULL;"2022-11-02 09:58:51";"2022-11-02 09:58:51"
